"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2067,"SLR_Temp_High","york",2310937.73570627,15419321.4869222
2068,"SLR_Temp_High","york",2229793.66388192,15202532.565012
2069,"SLR_Temp_High","york",2146689.59050018,14980714.7307202
2070,"SLR_Temp_High","york",2061625.51556106,14753867.9840467
2071,"SLR_Temp_High","york",1974601.43906455,14521992.3249916
2072,"SLR_Temp_High","york",1885617.36101066,14285087.7535548
2073,"SLR_Temp_High","york",1794673.2813994,14043154.2697363
2074,"SLR_Temp_High","york",1701769.20023074,13796191.8735363
2075,"SLR_Temp_High","york",1606905.1175047,13544200.5649545
2076,"SLR_Temp_High","york",1510081.03322128,13287180.3439911
2077,"SLR_Temp_High","york",1411296.94738048,13025131.2106461
2078,"SLR_Temp_High","york",1310552.85998229,12758053.1649194
2079,"SLR_Temp_High","york",1207848.77102671,12485946.2068111
2080,"SLR_Temp_High","york",1103184.68051376,12208810.3363211
2081,"SLR_Temp_High","york",996560.588443421,11926645.5534495
2082,"SLR_Temp_High","york",887976.494815698,11639451.8581962
2083,"SLR_Temp_High","york",777432.399630591,11347229.2505613
2084,"SLR_Temp_High","york",664928.302888099,11049977.7305447
2085,"SLR_Temp_High","york",550464.204588223,10747697.2981464
2086,"SLR_Temp_High","york",434040.104730971,10440387.9533666
2087,"SLR_Temp_High","york",315656.003316326,10128049.696205
2088,"SLR_Temp_High","york",195311.900344301,9810682.52666188
2089,"SLR_Temp_High","york",73007.7958148923,9488286.44473705
2090,"SLR_Temp_High","york",-51256.3102718964,9160861.45043059
2091,"SLR_Temp_High","york",-177480.417916073,8828407.54374246
2092,"SLR_Temp_High","york",-305664.527117629,8490924.72467269
2093,"SLR_Temp_High","york",-435808.637876574,8148412.99322126
2094,"SLR_Temp_High","york",-567912.750192899,7800872.3493882
2095,"SLR_Temp_High","york",-701976.864066605,7448302.79317348
2096,"SLR_Temp_High","york",-838000.979497701,7090704.32457711
2097,"SLR_Temp_High","york",-975985.096486181,6728076.94359908
2098,"SLR_Temp_High","york",-1115929.21503204,6360420.65023941
2099,"SLR_Temp_High","york",-1257833.33513528,5987735.4444981
2100,"SLR_Temp_High","york",-1401697.45679591,5610021.32637513
2020,"ENSO_2yr","york",3974611.73107389,20068375.1973183
2021,"ENSO_2yr","york",3969510.85406146,20051369.8231588
2022,"ENSO_2yr","york",3964409.97704902,20034364.4489993
2023,"ENSO_2yr","york",3959309.10003659,20017359.0748398
2024,"ENSO_2yr","york",3954208.22302416,20000353.7006803
2025,"ENSO_2yr","york",3949107.34601172,19983348.3265209
2026,"ENSO_2yr","york",3944006.46899929,19966342.9523614
2027,"ENSO_2yr","york",3938905.59198685,19949337.5782019
2028,"ENSO_2yr","york",3933804.71497441,19932332.2040424
2029,"ENSO_2yr","york",3928703.83796198,19915326.8298829
2030,"ENSO_2yr","york",3923602.96094954,19898321.4557234
2031,"ENSO_2yr","york",3918502.08393711,19881316.0815639
2032,"ENSO_2yr","york",3913401.20692467,19864310.7074045
2033,"ENSO_2yr","york",3908300.32991224,19847305.333245
2034,"ENSO_2yr","york",3903199.45289981,19830299.9590855
2035,"ENSO_2yr","york",3898098.57588737,19813294.584926
2036,"ENSO_2yr","york",3892997.69887494,19796289.2107665
2037,"ENSO_2yr","york",3887896.8218625,19779283.836607
2038,"ENSO_2yr","york",3882795.94485007,19762278.4624476
2039,"ENSO_2yr","york",3877695.06783763,19745273.0882881
2040,"ENSO_2yr","york",3872594.1908252,19728267.7141286
2041,"ENSO_2yr","york",3867493.31381276,19711262.3399691
2042,"ENSO_2yr","york",3862392.43680033,19694256.9658096
2043,"ENSO_2yr","york",3857291.55978789,19677251.5916501
2044,"ENSO_2yr","york",3852190.68277546,19660246.2174906
2045,"ENSO_2yr","york",3847089.80576302,19643240.8433312
2046,"ENSO_2yr","york",3841988.92875059,19626235.4691717
2047,"ENSO_2yr","york",3836888.05173816,19609230.0950122
2048,"ENSO_2yr","york",3831787.17472572,19592224.7208527
2049,"ENSO_2yr","york",3826686.29771328,19575219.3466932
2050,"ENSO_2yr","york",3821585.42070085,19558213.9725337
2051,"ENSO_2yr","york",3816484.54368842,19541208.5983743
2052,"ENSO_2yr","york",3811383.66667598,19524203.2242148
2053,"ENSO_2yr","york",3806282.78966355,19507197.8500553
2054,"ENSO_2yr","york",3801181.91265111,19490192.4758958
2055,"ENSO_2yr","york",3796081.03563868,19473187.1017363
2056,"ENSO_2yr","york",3790980.15862624,19456181.7275768
2057,"ENSO_2yr","york",3785879.28161381,19439176.3534173
2058,"ENSO_2yr","york",3780778.40460137,19422170.9792579
2059,"ENSO_2yr","york",3775677.52758894,19405165.6050984
2060,"ENSO_2yr","york",3770576.65057651,19388160.2309389
2061,"ENSO_2yr","york",3765475.77356407,19371154.8567794
2062,"ENSO_2yr","york",3760374.89655163,19354149.4826199
2063,"ENSO_2yr","york",3755274.0195392,19337144.1084604
2064,"ENSO_2yr","york",3750173.14252677,19320138.734301
2065,"ENSO_2yr","york",3745072.26551433,19303133.3601415
2066,"ENSO_2yr","york",3739971.3885019,19286127.985982
2067,"ENSO_2yr","york",3734870.51148946,19269122.6118225
2068,"ENSO_2yr","york",3729769.63447703,19252117.237663
2069,"ENSO_2yr","york",3724668.75746459,19235111.8635035
2070,"ENSO_2yr","york",3719567.88045216,19218106.489344
2071,"ENSO_2yr","york",3714467.00343972,19201101.1151846
2072,"ENSO_2yr","york",3709366.12642728,19184095.7410251
2073,"ENSO_2yr","york",3704265.24941485,19167090.3668656
2074,"ENSO_2yr","york",3699164.37240242,19150084.9927061
2075,"ENSO_2yr","york",3694063.49538998,19133079.6185466
2076,"ENSO_2yr","york",3688962.61837755,19116074.2443871
2077,"ENSO_2yr","york",3683861.74136512,19099068.8702277
2078,"ENSO_2yr","york",3678760.86435268,19082063.4960682
2079,"ENSO_2yr","york",3673659.98734024,19065058.1219087
2080,"ENSO_2yr","york",3668559.11032781,19048052.7477492
2081,"ENSO_2yr","york",3663458.23331538,19031047.3735897
2082,"ENSO_2yr","york",3658357.35630294,19014041.9994302
2083,"ENSO_2yr","york",3653256.47929051,18997036.6252707
2084,"ENSO_2yr","york",3648155.60227807,18980031.2511113
2085,"ENSO_2yr","york",3643054.72526563,18963025.8769518
2086,"ENSO_2yr","york",3637953.8482532,18946020.5027923
2087,"ENSO_2yr","york",3632852.97124076,18929015.1286328
2088,"ENSO_2yr","york",3627752.09422833,18912009.7544733
2089,"ENSO_2yr","york",3622651.21721589,18895004.3803138
2090,"ENSO_2yr","york",3617550.34020346,18877999.0061544
2091,"ENSO_2yr","york",3612449.46319103,18860993.6319949
2092,"ENSO_2yr","york",3607348.58617859,18843988.2578354
