"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1968/09/01","00:00","11.147","NaN","9.375","4.966","4.926","0.474","NaN","-0.854","0"
"1968/10/01","00:00","11.646","NaN","9.205","4.844","4.815","0.425","NaN","-1.655","0"
"1968/11/01","00:00","12.046","NaN","9.434","5.015","4.976","0.527","NaN","-2.554","0"
"1968/12/01","00:00","12.446","NaN","9.185","4.795","4.776","0.356","NaN","-1.953","0"
"1969/01/01","00:00","11.544","NaN","9.057","4.677","4.654","0.255","NaN","-2.154","0"
"1969/02/01","00:00","11.245","NaN","9.477","5.054","5.025","0.566","NaN","-1.855","0"
"1969/03/01","00:00","10.845","NaN","9.464","5.025","4.995","0.517","NaN","-1.255","0"
"1969/04/01","00:00","11.045","NaN","9.477","4.995","4.966","0.445","NaN","-1.255","0"
"1969/05/01","00:00","11.744","NaN","9.585","5.045","5.045","0.494","NaN","-1.153","0"
"1969/06/01","00:00","11.846","NaN","9.625","5.084","5.064","0.494","NaN","-1.553","0"
"1969/07/01","00:00","11.846","NaN","9.536","4.986","4.956","0.376","NaN","-1.753","0"
"1969/08/01","00:00","11.347","NaN","9.595","5.045","5.025","0.455","NaN","-1.353","0"
"1969/09/01","00:00","11.245","NaN","9.385","4.976","4.956","0.517","NaN","-0.556","0"
"1969/10/01","00:00","11.245","NaN","9.356","5.064","5.045","0.737","NaN","-1.353","0"
"1969/11/01","00:00","12.144","NaN","9.434","5.127","5.097","0.757","NaN","-1.055","0"
"1969/12/01","00:00","12.344","NaN","9.477","5.176","5.156","0.845","NaN","-1.655","0"
"1970/01/01","00:00","12.106","NaN","9.385","4.995","4.986","0.586","NaN","-1.474","0"
"1970/02/01","00:00","12.095","NaN","9.356","4.854","4.825","0.294","NaN","-2.163","0"
"1970/03/01","00:00","11.856","NaN","9.316","4.887","4.844","0.376","NaN","-1.743","0"
"1970/04/01","00:00","11.135","NaN","9.497","5.005","4.966","0.435","NaN","-1.635","0"
"1970/05/01","00:00","11.106","NaN","9.415","4.926","4.887","0.346","NaN","-1.114","0"
"1970/06/01","00:00","11.405","NaN","9.575","5.107","5.074","0.576","NaN","-1.205","0"
"1970/07/01","00:00","NaN","NaN","9.444","5.045","5.015","0.586","NaN","NaN","5"
"1970/08/01","00:00","NaN","NaN","9.595","5.176","5.136","0.674","NaN","NaN","5"
"1970/09/01","00:00","NaN","NaN","9.526","5.127","5.084","0.655","NaN","NaN","5"
"1970/10/01","00:00","NaN","NaN","9.477","5.107","5.064","0.655","NaN","NaN","5"
"1970/11/01","00:00","11.885","NaN","9.687","5.327","5.294","0.894","NaN","-0.884","0"
"1970/12/01","00:00","11.547","NaN","9.766","5.366","5.346","0.937","NaN","-0.966","0"
"1971/01/01","00:00","11.846","NaN","9.507","5.035","5.005","0.494","NaN","-1.835","0"
"1971/02/01","00:00","11.944","NaN","9.405","4.936","4.897","0.396","NaN","-1.376","0"
"1971/03/01","00:00","12.236","NaN","9.654","5.097","5.054","0.455","NaN","-1.694","0"
"1971/04/01","00:00","12.125","NaN","9.605","5.156","5.117","0.615","NaN","-1.343","0"
"1971/05/01","00:00","11.385","NaN","9.555","5.195","5.146","0.725","NaN","-0.985","0"
"1971/06/01","00:00","NaN","NaN","9.477","5.117","5.074","0.674","NaN","NaN","5"
"1971/07/01","00:00","NaN","NaN","9.326","4.976","4.946","0.566","NaN","NaN","5"
"1971/08/01","00:00","NaN","NaN","9.244","4.956","4.917","0.586","NaN","NaN","5"
"1971/09/01","00:00","11.104","NaN","9.346","5.005","4.907","0.465","NaN","-1.534","0"
"1971/10/01","00:00","12.125","NaN","9.585","5.107","5.045","0.517","NaN","-1.465","0"
"1971/11/01","00:00","12.197","NaN","9.625","5.156","5.136","0.655","NaN","-1.563","0"
"1971/12/01","00:00","11.334","NaN","9.224","4.756","4.746","0.255","NaN","-1.885","0"
"1972/01/01","00:00","11.035","NaN","9.186","4.726","4.707","0.225","NaN","-1.805","0"
"1972/02/01","00:00","13.047","NaN","9.306","4.865","4.835","0.357","NaN","-1.504","0"
"1972/03/01","00:00","12.335","NaN","9.527","5.006","4.986","0.436","NaN","-1.275","0"
"1972/04/01","00:00","12.375","NaN","9.527","5.065","5.025","0.527","NaN","-1.805","0"
"1972/05/01","00:00","11.806","NaN","9.486","5.107","5.065","0.646","NaN","-1.754","0"
"1972/06/01","00:00","11.715","NaN","9.634","5.186","5.156","0.674","NaN","-1.343","0"
"1972/07/01","00:00","11.216","NaN","9.575","5.054","5.025","0.474","NaN","NaN","0"
"1972/08/01","00:00","11.124","NaN","9.444","4.936","4.917","0.386","NaN","-0.943","0"
"1972/09/01","00:00","10.875","NaN","9.536","5.064","5.045","0.556","NaN","-1.474","0"
"1972/10/01","00:00","11.367","NaN","9.405","4.907","4.874","0.356","NaN","-2.114","0"
"1972/11/01","00:00","12.627","NaN","9.605","5.097","5.054","0.517","NaN","-2.383","0"
"1972/12/01","00:00","12.246","NaN","9.365","4.926","4.907","0.435","NaN","-1.734","0"
"1973/01/01","00:00","11.445","NaN","9.005","4.644","4.595","0.186","NaN","-1.714","0"
"1973/02/01","00:00","11.245","NaN","9.057","4.566","4.526","-0.005","NaN","-1.573","0"
"1973/03/01","00:00","11.275","NaN","9.195","4.815","4.716","0.225","NaN","-1.543","0"
"1973/04/01","00:00","12.607","NaN","9.424","4.946","4.815","0.205","NaN","-1.665","0"
"1973/05/01","00:00","11.724","NaN","9.405","4.936","4.805","0.205","NaN","-1.763","0"
